"","rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"63","mu_beta_angle_dev",0.246943611221938,0.00307108498734433,0.250211809224848,-0.203250605107586,0.0863267354128344,0.229740594711893,0.387310530126033,0.793782526624718,6637.91881355674,1.00022484823688
"64","sigma_beta_angle_dev",0.267408727815299,0.00636915647594611,0.255828555086312,0.0106116189767688,0.0870306621449768,0.193880418046619,0.368019405607382,0.937181564840801,1613.3708226453,1.00209818570754
"65","mu_beta_cone_def",-0.460701652077504,0.00387161223176255,0.331385032684698,-1.13483567146937,-0.674476548680103,-0.45063455453636,-0.239952349655789,0.170308801744262,7326.25569303986,1.00001489683321
"66","sigma_beta_cone_def",0.319135437142574,0.00789915420481161,0.293026854143079,0.016536885411589,0.109789673855616,0.240436954840113,0.43512921753832,1.0937560794583,1376.11161705166,1.00204897483889
"67","mu_beta_pressure",-0.165225275243103,0.00641361634636617,0.55071179432155,-1.30366698697339,-0.514142067022918,-0.144795460790498,0.207378316242367,0.866605166634329,7372.97566265552,0.999899417796263
"68","sigma_beta_pressure",0.600303473840879,0.0153508184897765,0.563389898468816,0.0220998846583976,0.190231209088626,0.443397062790213,0.837249832049293,2.05392589641638,1346.96105357974,1.00170857256625
"69","mu_beta_with_head",-1.54641808887068,0.00751007383618662,0.731105625503855,-2.95184235311145,-2.03340398923988,-1.56224721033908,-1.06684555013397,-0.0845649535633537,9477.02088100089,1.00032303533034
"70","sigma_beta_with_head",0.957617428022168,0.023810975632734,0.877718356305967,0.0405217285082155,0.325137008661679,0.711221504911338,1.32667770553992,3.2751986455292,1358.80138576477,1.00358097977445
"71","mu_beta_with_weak_foot",0.0394303130703723,0.00520389714065742,0.57665049981902,-1.14334501285311,-0.319038497193673,0.0562371920060667,0.416668396559649,1.14369685996806,12279.1396336097,0.999925620642315
"72","sigma_beta_with_weak_foot",0.877593841256906,0.0186586666328559,0.75024045100725,0.0261253889455466,0.311234168313266,0.702752572534845,1.24324265627535,2.75663550025434,1616.73835738851,1.00120503039354
"73","alpha_pp",1.54594442466179,0.0106340787594409,1.00522627220121,-0.613188612422254,1.00859376885592,1.58850115565723,2.12642867641252,3.44048438796077,8935.68634853619,0.999997791205869
"74","beta_dist_keeper_pp",0.697445627082313,0.0081567081235874,0.996893515156459,-1.46495208447117,0.245647003710353,0.730909677727529,1.18662244241442,2.68096786671863,14937.148474175,1.00028104557768
"75","beta_dist_goal_pp",-1.33413842659887,0.00478240492812498,0.452444680607649,-2.23616443863215,-1.57589720114938,-1.32836639608585,-1.09043949076985,-0.451464366769344,8950.31422593164,0.999992066018409
"76","beta_angle_goal_pp",-0.318798073480211,0.00428018407242124,0.508101256622208,-1.3861633280496,-0.559023891507805,-0.318533971802993,-0.0807312666245875,0.747485663013656,14092.0976804744,1.00023238298446
"77","beta_angle_dev_pp",0.246205929536894,0.00393393507995057,0.444039012146455,-0.582613725092158,0.0297779309556113,0.218006202183859,0.427999094232609,1.23774133888325,12740.5412493392,1.00013319976398
"78","beta_cone_def_pp",-0.460560529183934,0.00496881952622535,0.544319369955929,-1.56671190713464,-0.738359260055228,-0.455276090145806,-0.176219135178322,0.636433105979935,12000.5495000529,0.999990526350709
"79","beta_pressure_pp",-0.162192830699346,0.00822240131626413,0.998363933373948,-2.29352878298319,-0.633531947268255,-0.119009714950852,0.354216953922463,1.74036364167691,14742.8153826486,0.999954787704864
"80","beta_with_head_pp",-1.54589278550303,0.0112569098408166,1.49222389135454,-4.36488798391706,-2.29566795011456,-1.60483922530555,-0.889238865181061,1.76481867449326,17572.3401976685,1.00004581539924
"81","beta_with_weak_foot_pp",0.0445173346992499,0.00941311150107324,1.30027388659989,-2.72899646399127,-0.529831369664811,0.07554243119253,0.646232812003827,2.67886019563807,19081.094186521,0.999831443212442
"82","lp__",-70.056271244429,0.598066955929207,17.3573397103496,-103.593558069995,-81.9252818844523,-70.5887778734342,-58.2510896872369,-35.7590057849658,842.299826822813,1.00448529882925
