"","player.name","player.name.GK","possession_team.name","play_pattern.name","shot.statsbomb_xg","shot.first_time","location.x","location.y","DistToGoal","DistToKeeper","AngleToGoal","AngleDeviation","avevelocity","DefendersInCone","InCone.GK","under_pressure","goal","shot.type.name_Free.Kick","shot.type.name_Open.Play","shot.type.name_Penalty","shot.technique.name_Half.Volley","shot.technique.name_Lob","shot.technique.name_Normal","shot.technique.name_Volley","shot.body_part.name_processed_Head","shot.body_part.name_processed_Other","shot.body_part.name_processed_Stronger.Foot","shot.body_part.name_processed_Weaker.Foot"
"73","Eduardo César Daude Gaspar","Edwin van der Sar","Arsenal","Regular Play",0.020786682,0,100.9,22.6,2.80277833426967,0.457033670595559,2.3991151828987,1.0476636733269,-0.0438645560394712,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"74","Robert Pirès ","Edwin van der Sar","Arsenal","Regular Play",0.07579835,1,108.7,27.4,1.83596652789097,0.740399397273295,2.72668389208082,0.0116881540388228,-0.0577824629288093,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"75","Thierry Henry","Edwin van der Sar","Arsenal","Regular Play",0.16416815,1,103.4,38.7,1.80624277654117,0.725570567384663,0.253770306641956,1.47389510450327,-0.0488257930988816,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"76","Dennis Bergkamp","Edwin van der Sar","Arsenal","From Throw In",0.049654372,0,97.3,32.7,2.5866408708088,0.561014616675595,1.010294742648,0.386402617566292,-0.0385494415630538,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"77","Thierry Henry","Edwin van der Sar","Arsenal","Regular Play",0.014147292,0,96.3,26.7,2.94807900209132,0.399664350994876,1.66050783080039,0.308599045486977,-0.036013185116048,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0
"78","Thierry Henry","Edwin van der Sar","Arsenal","From Free Kick",0.17735319,0,108.3,34.2,1.41657881268654,0.380275000141339,1.49437403532244,0.56969457379945,-0.071243088137939,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"79","Gilberto Aparecido da Silva","Edwin van der Sar","Arsenal","From Throw In",0.014159448,0,84.8,40,3.81841396201702,0.566880500306516,0,0.578758698477526,-0.037801930804512,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"80","Fredrik Ljungberg","Edwin van der Sar","Arsenal","Regular Play",0.021402987,1,92.3,44.5,3.04422435758032,0.554234734802714,0.522933179370799,0.573140999206837,-0.032462605450846,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"81","Thierry Henry","Edwin van der Sar","Arsenal","From Corner",0.17158334,0,115.9,41.9,0.490194252372518,0.290032765110868,1.40907494254957,2.62702368501921,-0.0803264500333905,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0
"82","Dennis Bergkamp","Edwin van der Sar","Arsenal","Regular Play",0.16146144,1,103.7,42.4,1.78724984829737,0.290032765110868,0.4746848242312,1.09154104833452,-0.0532598849300585,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"83","Dennis Bergkamp","Edwin van der Sar","Arsenal","Regular Play",0.10973931,0,111.3,51.8,1.59033590904302,1.05785930612289,3.03756654316855,0.0398764117821525,-0.0324595748337387,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"84","Fredrik Ljungberg","Edwin van der Sar","Arsenal","Regular Play",0.10035475,0,104.1,45.7,1.83227742879453,0.590561652159959,1.11770055300055,0.874804750220451,-0.0580263335496089,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"85","Sulzeer Jeremiah ""Sol"" Campbell","Edwin van der Sar","Arsenal","From Corner",0.051722765,0,112.7,45.1,0.96599958432897,0.469277811483552,1.98007992807113,4.31139155093893,0.366272393885161,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0
"86","Dennis Bergkamp","Edwin van der Sar","Arsenal","Regular Play",0.10463004,1,106,45.1,1.61631727369471,0.313522511478502,1.13434408460203,1.44707564741639,-0.0484030922894724,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"87","Thierry Henry","Edwin van der Sar","Arsenal","Regular Play",0.0724678,0,104.8,27.1,2.16262687931464,0.347821997276302,2.2850562633819,0.216154801349278,-0.0592999707615059,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"88","Thierry Henry","Edwin van der Sar","Arsenal","Regular Play",0.029236661,1,93,38.7,2.93229005711739,0.313522511478502,0.156219538964609,0.395116650059769,-0.049768465377881,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"89","Thierry Henry","Edwin van der Sar","Arsenal","From Throw In",0.03885754,0,102.8,32.6,2.03117013232514,0.633791666902231,1.31926416931329,1.27621701976313,-0.0908757237434887,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0
"90","Fredrik Ljungberg","Edwin van der Sar","Arsenal","From Throw In",0.042297415,0,106.9,24.9,2.16852260478154,0.525343647964632,2.7801425216115,0.941771907080299,-0.0717734403757946,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0
"91","Nwankwo Christian Kanu","Edwin van der Sar","Arsenal","From Throw In",0.071593925,0,102.7,49.3,2.13064060922181,0.443387787842172,1.60162054124751,1.29568784937775,-0.0517025379932907,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"92","Nwankwo Christian Kanu","Edwin van der Sar","Arsenal","Regular Play",0.055744126,0,103.1,35.4,1.89997019874517,0.427101123905856,0.862911827549498,0.694299798612267,-0.0771902610956653,1,3,1,0,0,1,0,0,0,1,0,0,0,1,0
"93","Thierry Henry","Kasey Keller","Arsenal","From Free Kick",0.01825377,0,88.1,47.8,3.56238089709962,0.291657611242337,0.778674978170719,0.216877977601809,-0.0378409396739894,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"94","Thierry Henry","Kasey Keller","Arsenal","Regular Play",0.062478572,0,109.9,26.1,1.86385976704821,0.646343215417395,3.06012509219249,0.492277218928726,-0.032298530198556,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
"95","Thierry Henry","Kasey Keller","Arsenal","From Free Kick",0.026026275,0,94.4,56.7,3.31567457550013,0.72034116180673,1.87687222404537,0.308919449220744,-0.0454437180815822,4,2,0,0,1,0,0,0,0,1,0,0,0,1,0
"96","Thierry Henry","Kasey Keller","Arsenal","From Free Kick",0.13558367,0,101.4,49.3,2.25584001770825,0.646343215417393,1.50549407861158,1.35309209305926,-0.0667643443120976,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"97","Gilberto Aparecido da Silva","Kasey Keller","Arsenal","From Free Kick",0.013533142,1,87.7,47.5,3.59704492914169,0.799328701989748,0.740834470382454,0.603865995011528,-0.0722712814009921,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0
"98","Ray Parlour","Kasey Keller","Arsenal","From Corner",0.010894905,1,93.6,34.9,2.91675858006371,0.221693893921084,0.619641058391133,2.06136623730024,-0.0789899989183094,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"99","Ray Parlour","Kasey Keller","Arsenal","From Throw In",0.09245038,0,98.8,36,2.34030358464451,0.245947292919922,0.605535153742433,0.493581363648429,-0.0600746763044599,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
"100","Nwankwo Christian Kanu","Kasey Keller","Arsenal","From Throw In",0.025991991,0,90.1,41.4,3.24703582312667,0.156761255739251,0.151925543163503,0.398616754537455,-0.0473390966096256,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"101","Gilberto Aparecido da Silva","Kasey Keller","Arsenal","From Free Kick",0.13794717,0,113.9,42.5,0.71513034516186,0.153717058074952,1.26296840224558,3.12801553599259,-0.0843859527198267,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0
"102","Thierry Henry","Kasey Keller","Arsenal","From Throw In",0.021549962,0,97.6,46.6,2.53318004886754,0.504229441057369,0.930397108917818,0.977070875766639,-0.0481176031232074,2,3,0,0,0,1,0,0,0,1,0,0,0,1,0
